material_id,material_name,material_type,product_category,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,recycled_content_percent
29,Steel,Metal,Cosmetics,9.184829137724085,8.3,0.06,2.249380050310286,90.12,134.53,49.93
30,Bioplastic PLA,Bioplastic,Cosmetics,5.092900825439996,2.78,1.0,1.910641054133171,56.21,137.18,72.29
31,Bioplastic PHA,Bioplastic,E-commerce,6.215089703802876,19.4,0.98,1.820046119071105,57.08,82.36,81.6
32,Molded Pulp,Fiber,Food,4.511572371061875,9.43,0.82,0.7623629672811828,45.64,65.35,94.1
33,Paperboard,Fiber,Retail,4.195154778955839,17.79,0.84,0.8736341971338603,80.74,42.35,31.42
34,Aluminum,Metal,Food,9.897771074506666,8.8,0.09,10.377905340744693,69.09,219.74,63.5
35,Kraft Paper,Fiber,Automotive,6.896896099223678,,0.63,0.9477368012014186,73.54,13.23,46.9
36,Tinplate,Metal,Automotive,9.616794696232922,21.82,0.0,4.07,87.71,154.03,16.44
37,Corrugated Cardboard,Fiber,E-commerce,4.913841307520112,19.37,0.67,1.291449864150421,51.27,47.02,67.96
38,Steel,Metal,Pharmaceuticals,8.195344228012768,19.45,0.07,1.8955078267897132,63.13,,71.96
39,Compostable Film,Bioplastic,E-commerce,6.368466053024314,3.46,0.66,2.38,43.38,140.67,44.81
40,Kraft Paper,Fiber,Automotive,5.320457481218804,23.2,0.57,1.0866011878333157,82.8,59.89,60.05
41,Aluminum,Metal,Cosmetics,8.244076469689558,8.41,0.08,9.617275072417169,46.73,106.9,8.67
42,Kraft Paper,Fiber,Automotive,5.48553073033381,19.48,0.46,0.8997397304479303,67.46,25.59,44.05
43,Aluminum,Metal,Food,8.068777042230437,6.72,0.0,10.870391062632706,76.3,175.47,82.08
44,Bioplastic PHA,Bioplastic,E-commerce,6.818640804157564,3.27,0.79,2.038654226986554,73.97,143.43,56.79
45,Paperboard,Fiber,Cosmetics,4.776339944800051,10.25,0.73,1.2938791955915319,62.39,96.51,86.48
46,LDPE,Plastic,E-commerce,7.325044568707964,3.81,0.11,2.74,79.61,16.41,
47,Compostable Film,Bioplastic,Food,5.623422152178822,8.33,0.57,1.24,80.41,109.18,83.97
48,Bioplastic PLA,Bioplastic,Electronics,6.040136042355622,12.05,0.51,1.1925914341811878,86.8,148.96,42.14
49,Paperboard,Fiber,Electronics,5.6401308380298385,13.52,0.96,0.6728767545689164,64.88,,72.91
50,Recycled PET,Plastic,Automotive,6.369708911051054,20.11,0.35,3.0865082256931116,91.94,45.03,5.98
51,Recycled PET,Plastic,Cosmetics,7.939169255529118,7.75,0.39,2.867580375509614,73.26,66.87,45.36
52,Molded Pulp,Fiber,Pharmaceuticals,6.325398470083344,14.11,0.85,0.7919124665918641,85.8,18.21,49.5
53,Aluminum,Metal,Automotive,9.878997883128378,18.83,0.09,8.317677475955946,46.79,121.45,73.54
54,LDPE,Plastic,Electronics,7.789654700855298,7.1,0.31,2.68,87.67,,12.32
55,Bioplastic PHA,Bioplastic,Automotive,6.19579995762217,17.49,0.62,1.1284873743946457,94.94,148.46,72.8
56,Glass,Glass,Pharmaceuticals,8.843748470046233,15.99,0.06,1.7153526997312947,92.57,93.34,49.34
57,Rigid PVC,Plastic,Food,6.176985004103839,1.51,0.14,2.79,77.65,77.14,57.5
58,Kraft Paper,Fiber,Electronics,4.5879485872574355,12.14,0.92,0.7343071273031201,95.87,11.09,92.29
59,Rigid PVC,Plastic,Retail,6.090454577821076,11.5,0.4,,72.12,97.24,
60,Recycled PET,Plastic,Electronics,6.650660661526529,16.36,0.29,2.485057343173281,92.27,14.09,30.29
61,Steel,Metal,Automotive,8.777354579378963,22.4,0.03,1.9586594815588916,66.89,,57.53
62,LDPE,Plastic,E-commerce,6.542698063547792,19.75,0.31,3.84,57.95,83.24,66.63
63,Rigid PVC,Plastic,E-commerce,7.657475018303859,16.81,0.38,4.31,75.58,47.64,88.95
64,Paperboard,Fiber,Cosmetics,5.070259980080768,2.47,0.63,0.8484974140823561,97.26,23.54,58.47
65,Tinplate,Metal,Electronics,8.561869019374761,26.05,0.08,4.94,64.06,141.01,10.07
66,Glass,Glass,Pharmaceuticals,8.085392166316497,19.99,0.1,1.0555390741968746,84.6,193.37,81.47
67,Corrugated Cardboard,Fiber,E-commerce,4.422772674924288,4.32,0.97,0.9633418536357893,53.26,70.45,60.63
68,LDPE,Plastic,Retail,7.604393961508079,14.09,0.26,4.43,70.17,86.7,54.67
69,Bioplastic PHA,Bioplastic,Automotive,5.149101287359541,18.07,0.48,1.1014188453883222,83.8,108.23,
70,Molded Pulp,Fiber,Retail,6.960660809801552,2.26,0.61,1.1602495554756531,62.75,49.37,
71,Bioplastic PLA,Bioplastic,Electronics,6.544489538593314,24.59,0.64,1.3505681228656496,90.02,144.45,18.24
72,Steel,Metal,Electronics,8.397431363068344,11.46,0.05,2.1780083402231574,68.57,149.31,
73,HDPE,Plastic,Cosmetics,6.011044234247205,10.28,0.28,,80.46,26.21,67.69
74,Recycled PET,Plastic,Cosmetics,7.6309228569096685,11.27,0.39,3.3201186313421873,52.98,83.96,36.06
75,Compostable Film,Bioplastic,E-commerce,6.413714687695235,11.88,0.72,1.71,91.86,54.16,34.71
76,HDPE,Plastic,Electronics,7.458014336081975,17.03,0.31,3.78,49.1,,5.23
77,Bioplastic PLA,Bioplastic,Electronics,6.542540693371891,19.93,0.99,1.9763160535707913,93.59,65.97,73.4
78,Kraft Paper,Fiber,Food,4.222133955202271,1.33,0.55,0.9730704505859347,91.92,56.05,52.89
79,Rigid PVC,Plastic,Food,6.716931457088545,5.79,0.17,3.17,61.88,11.81,33.99
80,Aluminum,Metal,Automotive,8.23173811905026,12.4,0.09,9.297335012461502,79.39,218.38,49.86
81,Tinplate,Metal,Pharmaceuticals,9.726206851751186,12.56,0.07,4.86,47.4,,37.68
82,Compostable Film,Bioplastic,Food,6.246596253655116,5.48,0.6,2.87,40.44,64.79,37.88
83,Bioplastic PLA,Bioplastic,Automotive,5.661796049705298,15.7,0.5,1.499502869587297,44.65,97.7,41.94
84,Bioplastic PLA,Bioplastic,Retail,5.1271167005720475,12.37,0.95,2.0042304327972853,96.55,93.98,70.06
85,Kraft Paper,Fiber,Electronics,4.932946965146987,18.38,0.69,1.2958975528548173,51.89,97.12,68.99
86,Bioplastic PLA,Bioplastic,Electronics,5.650366644053494,18.25,0.82,1.992758784774068,45.06,95.67,88.88
87,Rigid PVC,Plastic,Cosmetics,7.459212356676128,8.65,0.24,3.87,71.84,28.16,66.61
88,Bioplastic PLA,Bioplastic,Electronics,6.2751149427104265,5.07,0.47,1.8366751260550374,75.15,127.37,14.6
89,Bioplastic PHA,Bioplastic,Automotive,6.774425485152653,18.17,0.96,2.095975765358869,51.89,81.72,88.38
90,Glass,Glass,Pharmaceuticals,7.944429850323899,4.52,0.08,1.3721644898269745,49.49,99.71,78.31
91,HDPE,Plastic,Automotive,6.239188491876604,17.18,0.36,3.48,87.36,49.52,38.92
92,Molded Pulp,Fiber,E-commerce,6.139734361668985,15.46,0.7,0.6420996398205496,92.18,,53.92
93,Steel,Metal,Cosmetics,9.521570097233795,9.77,0.03,2.1936077711145368,80.24,125.01,84.08
94,Corrugated Cardboard,Fiber,Pharmaceuticals,5.683831592708488,12.32,1.0,1.270337699153766,81.0,80.07,17.88
95,Bioplastic PLA,Bioplastic,Automotive,6.541934359909122,19.88,0.85,1.2629544135364894,71.12,81.67,46.13
96,Bioplastic PLA,Bioplastic,Retail,5.9875911927287815,4.7,0.54,2.035007336230999,81.76,110.53,67.46
97,Bioplastic PLA,Bioplastic,Food,6.045465658763988,4.11,0.51,1.3014005329885847,73.84,84.09,46.58
98,Kraft Paper,Fiber,Cosmetics,5.282623055075649,12.55,0.7,0.9750793791311569,41.05,88.49,88.89
99,Bioplastic PLA,Bioplastic,Pharmaceuticals,5.05083825348819,2.41,0.79,1.1450146744700795,61.72,47.58,11.96
100,Kraft Paper,Fiber,Electronics,4.323674280979914,16.27,0.47,0.9152596553807296,88.66,21.22,87.88
101,Tinplate,Metal,Automotive,8.06285837137347,21.83,0.04,4.11,59.44,220.43,5.42
102,Recycled PET,Plastic,Cosmetics,7.272820822527561,11.67,0.38,3.134244993342869,60.12,,45.7
103,HDPE,Plastic,Cosmetics,6.628711962152654,4.54,0.15,,64.3,,37.62
104,Tinplate,Metal,Cosmetics,9.017141382329406,2.24,0.07,4.36,95.74,122.3,42.32
105,LDPE,Plastic,Retail,7.815132947852186,11.04,0.28,2.67,83.5,28.89,85.82
106,Kraft Paper,Fiber,E-commerce,4.747876687446625,8.8,0.9,0.8433000669672874,57.05,74.27,52.49
107,Glass,Glass,Pharmaceuticals,7.820765846071259,10.95,0.08,1.5319293795897746,59.39,89.06,72.79
108,Compostable Film,Bioplastic,Food,6.511102277086097,5.74,0.88,2.96,88.71,,41.72
109,Recycled PET,Plastic,Retail,6.457596330983245,5.53,0.25,3.1931749411845938,59.68,61.25,84.87
110,LDPE,Plastic,Retail,6.153959819657586,16.5,0.4,4.01,86.8,96.64,90.0
111,Glass,Glass,E-commerce,7.579502905827536,7.83,0.01,1.7417422555835622,82.68,181.78,16.05
112,Molded Pulp,Fiber,Pharmaceuticals,4.483663861762013,14.67,0.95,0.7642494572988174,59.48,,37.68
113,Aluminum,Metal,Pharmaceuticals,9.859395304685146,8.21,0.08,9.597263663237232,89.94,132.93,92.71
114,LDPE,Plastic,Electronics,7.616240759128834,17.19,0.37,,64.66,12.02,29.18
115,Steel,Metal,Food,9.266807513020847,3.32,0.01,1.9066912093312922,97.1,178.85,20.45
116,Aluminum,Metal,E-commerce,9.742921180375436,18.46,0.01,11.969934008633501,55.9,183.13,63.63
117,Compostable Film,Bioplastic,Pharmaceuticals,6.607344153798229,2.2,0.48,2.8,90.69,105.72,59.05
118,Recycled PET,Plastic,E-commerce,6.3731401177720715,18.46,0.23,3.390501451886443,70.1,14.23,19.97
119,HDPE,Plastic,Electronics,7.785117996979956,20.08,0.17,3.47,56.74,42.01,69.71
120,Aluminum,Metal,Cosmetics,9.078684483831301,9.14,0.1,10.159828521122238,68.06,,53.59
121,Molded Pulp,Fiber,Cosmetics,6.422320465492188,17.24,0.97,1.189423306063495,76.15,52.68,35.99
122,Steel,Metal,Electronics,9.792182599846987,22.62,0.06,2.1646705840904295,44.4,111.66,5.21
123,Molded Pulp,Fiber,Automotive,4.954010424915592,12.06,0.59,1.0365099816019319,95.8,81.1,67.15
124,Corrugated Cardboard,Fiber,Retail,4.33015577358303,19.25,0.86,0.6623871024812116,84.02,75.17,62.35
125,Steel,Metal,Electronics,8.455870325083882,21.17,0.07,2.3286892943477655,78.86,106.62,57.94
126,Corrugated Cardboard,Fiber,Retail,5.2813233658787695,10.52,0.59,0.6893994385446643,82.4,27.33,15.38
127,HDPE,Plastic,Retail,7.6360295318449865,15.41,0.12,3.64,70.3,68.01,63.52
128,Steel,Metal,Cosmetics,9.721461166512686,10.66,0.09,2.37824734117677,65.58,160.67,56.52
129,Steel,Metal,Electronics,8.01390426106238,21.54,0.07,2.34741966136927,64.76,231.5,42.58
130,Molded Pulp,Fiber,Food,5.532241907732697,1.0,0.51,1.0961212884200835,94.09,16.3,5.85
131,Rigid PVC,Plastic,Automotive,6.834822006297558,10.75,0.24,3.95,55.76,45.85,13.25
132,Tinplate,Metal,Retail,8.44421562094146,15.18,0.0,4.93,57.23,227.92,69.4
133,Bioplastic PHA,Bioplastic,Electronics,5.239730734667366,27.76,0.43,1.0542405707871432,62.71,53.69,91.08
134,Bioplastic PHA,Bioplastic,E-commerce,5.6752303428072555,12.59,0.99,1.454692533917993,74.85,139.41,94.03
135,Aluminum,Metal,Pharmaceuticals,9.88581940782504,9.23,0.08,9.052450279643372,88.18,118.05,9.23
136,Recycled PET,Plastic,Food,6.64640586404151,9.62,0.35,2.5402046112072787,76.53,29.47,51.64
137,Bioplastic PLA,Bioplastic,Food,6.037581243486732,3.34,0.71,1.1314641201457578,97.79,138.72,46.7
138,Rigid PVC,Plastic,E-commerce,7.406037917790355,12.67,0.27,2.73,90.89,33.9,16.66
139,Recycled PET,Plastic,Cosmetics,6.727259204758588,17.52,0.34,3.405436734546594,71.95,17.83,41.76
140,Tinplate,Metal,Automotive,9.943564165441922,24.47,0.05,4.16,52.77,202.49,11.85
141,Corrugated Cardboard,Fiber,Food,6.887341884826334,5.33,0.76,0.9876615684986634,60.17,,55.92
142,Rigid PVC,Plastic,Electronics,6.503564591650728,24.94,0.3,4.63,90.3,73.75,80.33
143,Recycled PET,Plastic,E-commerce,6.994497011784771,13.14,0.33,2.4582864659870354,91.09,88.47,
144,Aluminum,Metal,Food,8.601756619633539,4.02,0.07,9.587926068297133,87.44,224.82,50.67
145,Aluminum,Metal,Food,8.569680988754936,6.55,0.1,9.788810162019342,55.07,195.1,53.6
146,Molded Pulp,Fiber,Automotive,4.110660842063599,10.37,0.66,1.0204160333524321,62.74,26.15,72.83
147,Glass,Glass,Pharmaceuticals,8.219128667959794,15.88,0.09,1.4125435421571981,84.72,165.03,47.62
148,Glass,Glass,Food,8.005358046457722,8.67,0.1,1.7355135785715339,65.87,157.71,58.5
149,LDPE,Plastic,Retail,6.1029575024999785,16.79,0.21,4.55,54.65,10.09,19.3
150,Paperboard,Fiber,E-commerce,4.835939392709834,,0.91,0.9478744380340811,87.9,36.85,80.6
151,Tinplate,Metal,Automotive,9.816531771933308,12.63,0.09,5.93,41.82,209.69,86.86
152,Bioplastic PHA,Bioplastic,Cosmetics,5.479123781333945,15.68,0.67,2.4882370222349692,58.6,119.69,72.13
153,Molded Pulp,Fiber,Electronics,4.434684616273669,14.21,0.92,1.195997470421567,96.16,26.7,83.18
154,Bioplastic PHA,Bioplastic,Retail,5.978905520555126,11.55,0.41,1.3127657715360037,57.06,140.3,92.08
155,Bioplastic PLA,Bioplastic,Automotive,6.971300908221202,10.02,0.76,2.3958928219658744,54.36,101.43,25.3
156,LDPE,Plastic,Retail,6.484110543023001,7.87,0.28,3.58,97.09,23.46,46.81
157,Kraft Paper,Fiber,Food,6.016406642217635,6.4,0.57,0.6814564785198333,89.89,80.19,8.57
158,Glass,Glass,Cosmetics,8.523239230657435,6.36,0.1,1.6539597667929533,68.94,154.18,68.22
159,Compostable Film,Bioplastic,Food,5.4752750879848,5.66,0.45,1.7,41.93,48.64,40.72
160,Paperboard,Fiber,Automotive,6.184649045835579,23.79,0.88,0.8664363054336061,49.71,19.41,62.28
161,Molded Pulp,Fiber,Cosmetics,5.10334939815776,18.85,0.43,1.2145820243115488,81.13,88.39,69.27
162,Kraft Paper,Fiber,Pharmaceuticals,5.896917491780739,16.67,0.45,1.2076396830752154,71.76,83.56,45.71
163,Molded Pulp,Fiber,Retail,5.9005891322826844,15.17,0.45,1.164147780082335,54.33,24.36,83.46
164,Compostable Film,Bioplastic,Cosmetics,6.071549368149517,8.06,0.51,2.58,78.21,94.8,54.98
165,Paperboard,Fiber,Cosmetics,4.270869310163225,19.93,0.98,1.153021305414943,51.57,71.22,11.5
166,Tinplate,Metal,Retail,9.670604991178475,10.33,0.09,5.45,83.08,163.82,36.13
167,LDPE,Plastic,Automotive,6.641560129943471,10.8,0.36,3.95,65.44,75.27,48.8
168,Paperboard,Fiber,Retail,4.559555531199563,9.59,0.57,0.8132753973686285,92.92,,61.07
169,Steel,Metal,E-commerce,8.081550283109529,4.37,0.07,1.8566434981358766,50.42,135.63,92.43
170,Aluminum,Metal,E-commerce,9.181785886376483,10.86,0.02,9.611920715060645,65.83,,37.33
171,Paperboard,Fiber,Retail,6.032693085526847,9.04,0.98,0.721467160490556,78.09,39.27,74.61
172,Steel,Metal,Pharmaceuticals,8.033175657855713,10.17,0.02,2.2864657622317233,49.85,177.97,35.33
173,Kraft Paper,Fiber,Electronics,5.536279174897842,11.22,0.77,0.8422698085764498,49.69,25.09,8.3
174,Bioplastic PHA,Bioplastic,Retail,5.4529915503958755,10.54,0.91,2.4634153012898725,73.95,135.51,
175,Rigid PVC,Plastic,Pharmaceuticals,7.2903455808189,3.03,0.26,4.84,42.28,20.99,45.7
176,Bioplastic PHA,Bioplastic,Cosmetics,5.348732858009983,11.13,0.42,1.961458116017998,97.22,146.16,5.44
177,Paperboard,Fiber,Electronics,6.072813214307398,26.7,0.67,1.1757363945440527,68.35,70.02,17.57
178,Kraft Paper,Fiber,E-commerce,5.160206038901612,18.92,0.84,0.6927672709192939,50.92,75.77,19.05
179,Glass,Glass,E-commerce,8.87345997747347,6.6,0.07,1.6896115858180982,61.71,82.1,26.97
180,Compostable Film,Bioplastic,Retail,5.2750418882919865,2.55,0.96,2.38,79.24,63.72,64.3
181,Bioplastic PHA,Bioplastic,E-commerce,5.6821327021005175,8.27,0.5,2.3841357857700913,58.45,135.31,94.4
182,Rigid PVC,Plastic,Electronics,6.226947042481179,12.22,0.13,4.13,84.38,,44.44
183,Paperboard,Fiber,Food,6.774080854835688,3.85,0.92,0.9409433431732551,57.22,68.42,34.55
184,Corrugated Cardboard,Fiber,Pharmaceuticals,6.6320180601429435,12.14,0.63,1.0243770564256842,74.6,59.11,45.0
185,Glass,Glass,Food,7.515883255430311,2.52,0.06,1.6118478407223964,69.03,145.08,90.63
186,Paperboard,Fiber,Automotive,5.979952138102537,26.28,0.47,0.7223870390822887,70.54,32.15,47.9
187,HDPE,Plastic,Retail,7.634444400402431,14.93,0.39,2.55,51.36,10.68,63.27
188,LDPE,Plastic,Retail,7.110401623198925,18.69,0.12,4.84,60.39,19.13,48.73
189,Bioplastic PHA,Bioplastic,Pharmaceuticals,6.059301156712013,18.73,0.72,1.7538491146951636,45.2,118.94,40.99
190,Rigid PVC,Plastic,Pharmaceuticals,6.483704581800904,11.4,0.14,4.65,86.39,26.61,31.58
191,Corrugated Cardboard,Fiber,Food,4.2793083034176975,9.26,0.65,0.8790641194406192,87.31,43.62,52.38
192,Tinplate,Metal,Cosmetics,9.794431515906654,13.48,0.05,5.19,86.04,196.99,20.73
193,Recycled PET,Plastic,E-commerce,7.8008361143266605,15.86,0.27,2.219560988243374,57.52,75.88,81.61
194,Aluminum,Metal,Food,9.266202914546536,7.9,0.01,9.470137689166126,48.87,135.29,83.23
195,Corrugated Cardboard,Fiber,Retail,5.017089373146102,5.21,0.59,0.6477206165698455,51.96,,28.12
196,Rigid PVC,Plastic,E-commerce,6.698419149225321,4.55,0.18,3.99,79.2,49.84,45.12
197,Recycled PET,Plastic,Electronics,7.451911357740479,13.53,0.35,2.0387178604242306,59.56,91.5,74.54
198,Bioplastic PLA,Bioplastic,E-commerce,6.794220519905155,5.45,0.59,1.2027494337322342,60.59,47.64,51.72
199,Paperboard,Fiber,Pharmaceuticals,6.661259272795352,6.21,0.72,1.2741805781124218,77.75,57.97,34.19
200,Molded Pulp,Fiber,Automotive,6.339626637572872,,0.8,0.984670675126512,82.38,51.87,10.41
201,LDPE,Plastic,Food,7.284063292308575,2.58,0.31,3.0,71.08,18.7,45.53
202,LDPE,Plastic,Electronics,6.168279929990097,29.53,0.24,3.46,46.95,97.67,6.8
203,Bioplastic PLA,Bioplastic,Pharmaceuticals,5.323257428189228,14.09,0.46,2.4487332417298298,85.7,135.12,59.76
204,LDPE,Plastic,Automotive,7.797108377054158,11.26,0.14,3.07,59.82,44.28,36.17
205,Recycled PET,Plastic,Electronics,7.21285811931918,25.63,0.18,2.648746817495198,90.65,24.56,75.76
206,Tinplate,Metal,Automotive,8.018394103233259,17.82,0.05,4.79,71.3,194.19,65.69
207,Compostable Film,Bioplastic,Automotive,5.202943085732064,12.83,0.53,2.64,58.71,42.52,18.84
208,Molded Pulp,Fiber,Food,5.990505307324168,6.16,0.96,0.8182712931596817,67.8,38.24,59.57
209,Corrugated Cardboard,Fiber,Automotive,4.015184751538656,26.59,0.59,0.9542993039881709,87.86,69.97,15.96
210,Bioplastic PHA,Bioplastic,Food,5.321616102834997,3.09,0.45,1.6592675329493651,47.08,105.37,89.28
211,Bioplastic PLA,Bioplastic,Food,6.0974675787331725,8.66,0.4,1.1584970263926158,74.95,80.13,39.78
212,Bioplastic PHA,Bioplastic,Cosmetics,6.383790395385386,5.81,0.69,1.9612394720353095,75.93,72.71,43.73
213,Recycled PET,Plastic,Cosmetics,7.3039225190052015,,0.18,2.3240572737643994,80.11,65.62,61.99
214,Steel,Metal,Electronics,8.44853861892112,10.52,0.02,2.2337115684284807,89.18,208.65,76.29
215,Tinplate,Metal,Automotive,9.424358442695072,17.08,0.05,4.96,50.26,158.06,91.74
216,Aluminum,Metal,Food,8.4744981749936,4.77,0.08,10.600804369592613,79.5,128.45,60.71
217,Rigid PVC,Plastic,E-commerce,6.6507993963185355,13.33,0.16,2.66,42.47,43.43,28.93
218,HDPE,Plastic,Retail,7.4929828102360485,,0.14,2.82,90.15,31.91,63.65
219,Molded Pulp,Fiber,Electronics,5.948898697141644,26.49,0.64,0.7064173971900537,47.72,19.19,64.28
220,Recycled PET,Plastic,Electronics,7.698446820988356,6.91,0.18,2.0920244406660022,54.68,80.31,79.26
221,Aluminum,Metal,Food,9.315225784600687,5.05,0.02,11.12304634427376,66.14,232.37,14.51
222,LDPE,Plastic,Electronics,7.136617206670943,6.2,0.11,4.37,78.22,82.19,14.48
223,Corrugated Cardboard,Fiber,E-commerce,4.281024303484277,8.98,0.68,0.9218602966385241,96.3,94.81,75.55
224,Molded Pulp,Fiber,Cosmetics,5.1031474091783,11.89,0.9,0.640714656853833,64.61,17.44,51.32
225,Corrugated Cardboard,Fiber,Retail,4.795607103045176,6.1,0.99,1.296406422018837,40.6,32.99,28.46
226,Recycled PET,Plastic,Electronics,6.487979286758167,16.96,0.37,2.08667084149455,47.26,52.69,15.26
227,Rigid PVC,Plastic,E-commerce,7.946021109504891,11.37,0.28,2.89,42.54,19.97,58.87
228,Recycled PET,Plastic,Electronics,6.786195449333521,18.75,0.22,3.0425528432878295,55.88,93.55,65.84
229,Molded Pulp,Fiber,Automotive,6.676139665531339,29.85,0.8,1.2885752476843897,91.0,33.26,53.96
230,Bioplastic PHA,Bioplastic,E-commerce,6.262277251994526,19.61,0.85,1.3587701563238883,50.47,45.92,33.81
231,Glass,Glass,Cosmetics,8.589622607083296,,0.07,1.113799494949757,79.75,91.02,91.86
232,Tinplate,Metal,Cosmetics,9.005274186210384,8.16,0.04,5.52,83.12,,14.53
233,Aluminum,Metal,E-commerce,9.153807769252719,12.39,0.09,8.485539757689715,49.33,183.71,78.06
234,LDPE,Plastic,E-commerce,6.985035387637728,7.0,0.16,,78.14,37.98,71.81
235,Kraft Paper,Fiber,Retail,4.585728963394134,14.38,0.63,0.8122926032973169,70.4,86.32,80.6
236,LDPE,Plastic,Electronics,7.444904230523011,23.74,0.33,4.2,83.86,85.78,47.33
237,Molded Pulp,Fiber,E-commerce,4.842317087322567,8.94,0.79,0.6707320677074526,52.6,22.4,64.67
238,Glass,Glass,Retail,7.048631932862907,13.15,0.04,1.5537290733553055,45.39,150.58,48.29
239,Kraft Paper,Fiber,Cosmetics,5.936416887721503,12.44,0.74,0.6436042586910439,75.0,70.88,77.45
240,Tinplate,Metal,Pharmaceuticals,8.354221358814097,10.97,0.01,4.12,59.39,217.73,68.69
241,Tinplate,Metal,Pharmaceuticals,9.880917168705828,9.92,0.01,4.66,65.17,113.29,24.86
242,HDPE,Plastic,Pharmaceuticals,7.907857154005175,19.97,0.38,4.11,64.43,67.26,75.71
243,HDPE,Plastic,Retail,7.829728780440897,17.12,0.22,3.93,74.09,26.6,37.6
244,Paperboard,Fiber,Cosmetics,5.110476100766333,2.44,0.9,0.9565954897048528,70.05,36.89,89.66
245,Compostable Film,Bioplastic,Cosmetics,5.030913233057735,17.71,0.91,1.37,86.55,90.4,48.47
246,Glass,Glass,Food,8.856637125175451,7.55,0.05,1.7973574830823815,82.31,171.86,19.3
247,LDPE,Plastic,Pharmaceuticals,6.856368296634629,15.52,0.3,4.89,44.0,15.13,30.4
248,LDPE,Plastic,Retail,7.933309638087339,18.31,0.17,3.18,84.05,50.48,74.9
249,LDPE,Plastic,Electronics,7.927239954178505,5.84,0.12,4.77,48.08,57.92,42.0
250,Aluminum,Metal,Automotive,9.70601891093472,10.44,0.07,11.255881078024075,72.49,240.52,9.7
251,LDPE,Plastic,Automotive,6.588897784139172,29.63,0.18,4.14,51.49,60.88,46.75
252,Recycled PET,Plastic,E-commerce,6.770195457203851,8.29,0.13,2.9228291573465164,53.07,32.59,81.56
253,Aluminum,Metal,Electronics,9.702273343033713,7.87,0.09,9.225014483146447,43.92,206.18,53.92
