material_id,material_name,material_type,product_category,strength_score,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit,recycled_content_percent,norm_co2,norm_cost,norm_strength,norm_recyclability,norm_biodegradability,co2_impact_index,cost_efficiency_index,material_suitability_score
39,Compostable Film,Bioplastic,E-commerce,6.368466053024314,3.46,0.66,2.38,43.38,140.67,44.81,0.1563344501888693,0.544821257247737,0.39324578142477384,0.058306020355356265,0.66,0.8436655498111307,0.43040555822126736,0.5106868367122046
40,Kraft Paper,Fiber,Automotive,5.320457481218804,23.2,0.57,1.0866011878333155,82.8,59.89,60.05,0.042731358473007124,0.2078588411963459,0.2181179930471842,0.7383129204761083,0.57,0.9572686415269929,0.562531892501066,0.6827879489833045
41,Aluminum,Metal,Cosmetics,8.244076469689558,8.41,0.08,9.617275072417169,46.73,106.9,8.67,0.792005997194105,0.40395444875484926,0.706670225618644,0.1160945316543039,0.08,0.20799400280589497,0.6402954209945481,0.3283579849831307
42,Kraft Paper,Fiber,Automotive,5.48553073033381,19.48,0.46,0.8997397304479303,67.46,25.59,44.05,0.02631875697544532,0.06478121219705502,0.24570260811193476,0.47369328963256846,0.46,0.9736812430245547,0.6594123159265409,0.6452663706267088
43,Aluminum,Metal,Food,8.068777042230437,6.72,0.0,10.870391062632706,76.3,175.47,82.08,0.9020709280011724,0.6899845659700496,0.6773767619383957,0.6261859582542694,0.0,0.09792907199882761,0.4569599651933285,0.3365935807426738
44,Bioplastic PHA,Bioplastic,E-commerce,6.818640804157564,3.27,0.79,2.038654226986554,73.97,143.43,56.79,0.1263530285316868,0.556334209318817,0.46847236894549954,0.5859927548732102,0.79,0.8736469714683132,0.45358842198690963,0.6580369848064133
45,Paperboard,Fiber,Cosmetics,4.776339944800051,10.25,0.73,1.293879195591532,62.39,96.51,86.48,0.06093720674233678,0.3606140241104576,0.12719306806654887,0.38623425909953424,0.73,0.9390627932576632,0.4345088127603449,0.589812199793947
46,LDPE,Plastic,E-commerce,7.325044568707964,3.81,0.11,2.74,79.61,16.41,,0.18795432847621682,0.026488132482376005,0.5530951227069597,0.6832844574780058,0.11,0.8120456715237832,0.8053451695933582,0.6534163976217715
47,Compostable Film,Bioplastic,Food,5.623422152178822,8.33,0.57,1.24,80.41,109.18,83.97,0.05620483561226891,0.41346514829182834,0.2687449957351151,0.6970846989822321,0.57,0.9437951643877311,0.459418909318949,0.6497847160160145
48,Bioplastic PLA,Bioplastic,Electronics,6.040136042355622,12.05,0.51,1.1925914341811878,86.8,148.96,42.14,0.052040799276245185,0.5794018270554374,0.3383800959968981,0.8073141279972399,0.51,0.9479592007237548,0.3877109421654968,0.6531163309576384
49,Paperboard,Fiber,Electronics,5.640130838029839,13.52,0.96,0.6728767545689164,64.88,,72.91,0.006392702294334569,,0.2715371057221006,0.42918751078143863,0.96,0.9936072977056655,,
50,Recycled PET,Plastic,Automotive,6.369708911051054,20.11,0.35,3.086508225693112,91.94,45.03,5.98,0.21838918381505273,0.14587243982814,0.3934534695900676,0.8959806796618941,0.35,0.7816108161849473,0.669857923939143,0.6729892087316556
51,Recycled PET,Plastic,Cosmetics,7.939169255529118,7.75,0.39,2.867580375509614,73.26,66.87,45.36,0.1991600949914059,0.2369749301297293,0.6557186136635086,0.5737450405382095,0.39,0.8008399050085941,0.7201024873875659,0.6590984628234624
52,Molded Pulp,Fiber,Pharmaceuticals,6.325398470083344,14.11,0.85,0.7919124665918641,85.8,18.21,49.5,0.01684796542214944,0.033996579485254246,0.38604895999207645,0.790063826116957,0.85,0.9831520345778506,0.734021636305678,0.8025686806723736
53,Aluminum,Metal,Automotive,9.878997883128378,18.83,0.09,8.317677475955946,46.79,121.45,73.54,0.6778584476867907,0.46464772869478166,0.9798742613579994,0.11712954976712091,0.09,0.3221415523132093,0.7131610673263308,0.4098460686147697
54,LDPE,Plastic,Electronics,7.789654700855298,7.1,0.31,2.68,87.67,,12.32,0.1826843487616589,,0.6307339389244688,0.8223218906330861,0.31,0.817315651238341,,
55,Bioplastic PHA,Bioplastic,Automotive,6.19579995762217,17.49,0.62,1.1284873743946455,94.94,148.46,72.8,0.04641034769798042,0.5773161473324157,0.36439236149188514,0.9477315853027428,0.62,0.9535896523020195,0.3993672561973046,0.7049042629496691
56,Glass,Glass,Pharmaceuticals,8.843748470046233,15.99,0.06,1.715352699731295,92.57,93.34,49.34,0.09795648702633998,0.34739081466649985,0.8068785960459034,0.9068483698464722,0.06,0.90204351297366,0.7143169496184614,0.7202498248705982
57,Rigid PVC,Plastic,Food,6.176985004103839,1.51,0.14,2.79,77.65,77.14,57.5,0.1923459782383484,0.2798147916405957,0.3612482830112905,0.6494738657926514,0.14,0.8076540217616516,0.5766104382201588,0.5734684175431946
58,Kraft Paper,Fiber,Electronics,4.587948587257436,12.14,0.92,0.7343071273031201,95.87,11.09,92.29,0.01178831593045099,0.004296500229424767,0.09571187346233855,0.963774366051406,0.92,0.988211684069549,0.6357068492472806,0.7957162780891999
59,Rigid PVC,Plastic,Retail,6.090454577821076,11.5,0.4,,72.12,97.24,,,0.3636591165060693,0.3467885900374408,0.554079696394687,0.4,,0.5205199661113347,
60,Recycled PET,Plastic,Electronics,6.650660661526529,16.36,0.29,2.485057343173281,92.27,14.09,30.29,0.16556195131201165,0.016810578567555166,0.4404019965632929,0.9016732792823874,0.29,0.8344380486879883,0.766074451484784,0.7097248829903993
61,Steel,Metal,Automotive,8.777354579378963,22.4,0.03,1.958659481558892,66.89,,57.53,0.1193268504371034,,0.7957838249274661,0.4638606175608073,0.03,0.8806731495628966,,
62,LDPE,Plastic,E-commerce,6.542698063547792,19.75,0.31,3.84,57.95,83.24,66.63,0.2845706232431119,0.3052600842614608,0.42236087407615364,0.3096429187510782,0.31,0.7154293767568881,0.585788299073585,0.5117405589532937
63,Rigid PVC,Plastic,E-commerce,7.657475018303859,16.81,0.38,4.31,75.58,47.64,88.95,0.3258521310071489,0.15675968798231343,0.6086460132180928,0.6137657409004658,0.38,0.6741478689928511,0.7494025924978491,0.6302127583242201
64,Paperboard,Fiber,Cosmetics,5.070259980080768,2.47,0.63,0.8484974140823561,97.26,23.54,58.47,0.0218179908458864,0.056229925332665916,0.17630866418223368,0.9877522856649993,0.63,0.9781820091541136,0.6367855104732939,0.7623323039157808
65,Tinplate,Metal,Electronics,8.561869019374761,26.05,0.08,4.94,64.06,141.01,10.07,0.38118691801000704,0.5462395194593918,0.7597750454517143,0.41504226323960675,0.08,0.618813081989993,0.5761663065050506,0.5006714584163534
66,Glass,Glass,Pharmaceuticals,8.085392166316497,19.99,0.1,1.0555390741968746,84.6,193.37,81.47,0.04000307999375152,0.7646519000542277,0.6801532372584381,0.7693634638606175,0.1,0.9599969200062485,0.4132701548708386,0.6282046312175515
67,Corrugated Cardboard,Fiber,E-commerce,4.422772674924288,4.32,0.97,0.9633418536357892,53.26,70.45,60.63,0.03190512195882582,0.2519083969465649,0.06811010282956632,0.22873900293255128,0.97,0.9680948780411742,0.4760990029638876,0.607512025022791
68,LDPE,Plastic,Retail,7.604393961508079,14.09,0.26,4.43,70.17,86.7,54.67,0.3363920904362647,0.3196929879447712,0.5997758872177157,0.5204416077281353,0.26,0.6636079095637353,0.6480945621202235,0.5641719236665752
69,Bioplastic PHA,Bioplastic,Automotive,5.149101287359541,18.07,0.48,1.1014188453883222,83.8,108.23,,0.04403283771854298,0.40950235681808705,0.18948346460656834,0.7555632223563912,0.48,0.9559671622814571,0.43009197175177505,0.6363741325543159
70,Molded Pulp,Fiber,Retail,6.960660809801552,2.26,0.61,1.1602495554756531,62.75,49.37,,0.04920011519776417,0.1639761398239686,0.49220466480922087,0.3924443677764361,0.61,0.9507998848022359,0.6984961820293072,0.6790733509842068
71,Bioplastic PLA,Bioplastic,Electronics,6.544489538593314,24.59,0.64,1.3505681228656496,90.02,144.45,18.24,0.06591636502191427,0.5605889959537813,0.42266023905378497,0.8628601000517508,0.64,0.9340836349780858,0.4327106980492452,0.6992408089214657
72,Steel,Metal,Electronics,8.397431363068344,11.46,0.05,2.1780083402231574,68.57,149.31,,0.13859291769663856,0.5808618028615526,0.7322966413148813,0.4928411247196825,0.05,0.8614070823033615,0.544401574809021,0.5738204074686883
73,HDPE,Plastic,Cosmetics,6.011044234247205,10.28,0.28,,80.46,26.21,67.69,,0.06736745505360196,0.33351870063144323,0.6979472140762463,0.28,,0.6929870072204161,
74,Recycled PET,Plastic,Cosmetics,7.630922856909667,11.27,0.39,3.3201186313421878,52.98,83.96,36.06,0.23890788546305733,0.3082634630626121,0.6042090062825497,0.22390891840607205,0.39,0.7610921145369427,0.6567255246754526,0.5562116998394154
75,Compostable Film,Bioplastic,E-commerce,6.413714687695235,11.88,0.72,1.71,91.86,54.16,34.71,0.09748634337630592,0.1839569515705168,0.40080706816441564,0.8946006555114715,0.72,0.9025136566236941,0.6499486563234561,0.7602420989867081
76,HDPE,Plastic,Electronics,7.458014336081975,17.03,0.31,3.78,49.1,,5.23,0.279300643528554,,0.5753150757758309,0.15697774711057447,0.31,0.720699356471446,,
77,Bioplastic PLA,Bioplastic,Electronics,6.542540693371891,19.93,0.99,1.9763160535707915,93.59,65.97,73.4,0.12087768004262577,0.23322070662829014,0.422334576685461,0.924443677764361,0.99,0.8791223199573742,0.6290014066972104,0.7966092408829332
78,Kraft Paper,Fiber,Food,4.222133955202271,1.33,0.55,0.9730704505859348,91.92,56.05,52.89,0.03275961376846544,0.19184082092353896,0.03458230907565352,0.8956356736242884,0.55,0.9672403862315345,0.498728431076138,0.6799395892709179
79,Rigid PVC,Plastic,Food,6.716931457088545,5.79,0.17,3.17,61.88,11.81,33.99,0.22572251643054853,0.007299879030576065,0.4514761978370523,0.37743660514059,0.17,0.7742774835694515,0.7762105517164753,0.5724708238117775
80,Aluminum,Metal,Automotive,8.23173811905026,12.4,0.09,9.297335012461502,79.39,218.38,49.86,0.7639047034300916,0.8689775997997747,0.7046084218149166,0.6794893910643437,0.09,0.23609529656990835,0.3604568088461018,0.3808015115768584
81,Tinplate,Metal,Pharmaceuticals,9.726206851751186,12.56,0.07,4.86,47.4,,37.68,0.3741602783905965,,0.9543420699915492,0.12765223391409347,0.07,0.6258397216094035,,
82,Compostable Film,Bioplastic,Food,6.246596253655116,5.48,0.6,2.87,40.44,64.79,37.88,0.19937261785775895,0.2282985024819589,0.37288069185610856,0.007590132827324439,0.6,0.800627382142241,0.6121731752532681,0.5220376042070651
83,Bioplastic PLA,Bioplastic,Automotive,5.661796049705298,15.7,0.5,1.499502869587297,44.65,97.7,41.94,0.0789977499221793,0.36557794185124937,0.2751574774514261,0.08021390374331548,0.5,0.9210022500778207,0.4907162258698208,0.5175382599846071
84,Bioplastic PLA,Bioplastic,Retail,5.127116700572048,12.37,0.95,2.0042304327972853,96.55,93.98,70.06,0.1233294835804274,0.35006048471196766,0.1858097236028513,0.9755045713299982,0.95,0.8766705164195726,0.4642875986139599,0.7352549412056465
85,Kraft Paper,Fiber,Electronics,4.932946965146987,18.38,0.69,1.2958975528548171,51.89,97.12,68.99,0.06111448510624083,0.36315855337254416,0.15336293142035057,0.20510608935656374,0.69,0.9388855148937592,0.4434500405446138,0.5523856756176291
86,Bioplastic PLA,Bioplastic,Electronics,5.650366644053494,18.25,0.82,1.992758784774068,45.06,95.67,88.88,0.12232189437417901,0.3571100821757811,0.27324756317389076,0.08728652751423153,0.82,0.8776781056258209,0.49503297596408763,0.5548437374990035
87,Rigid PVC,Plastic,Cosmetics,7.459212356676128,8.65,0.24,3.87,71.84,28.16,66.61,0.2872056131003909,0.07550160597338673,0.5755152713684331,0.5492496118682078,0.24,0.7127943868996092,0.7849051449633412,0.613466051821203
88,Bioplastic PLA,Bioplastic,Electronics,6.2751149427104265,5.07,0.47,1.8366751260550371,75.15,127.37,14.6,0.10861259912045779,0.489342176615359,0.37764631598939247,0.6063481110919442,0.47,0.8913874008795422,0.45745322042654163,0.6113137791878261
89,Bioplastic PHA,Bioplastic,Automotive,6.774425485152653,18.17,0.96,2.095975765358869,51.89,81.72,88.38,0.13138775093884267,0.29891961790347477,0.46108375473178237,0.20510608935656374,0.96,0.8686122490611573,0.605081731150628,0.6429837008504952
90,Glass,Glass,Pharmaceuticals,7.944429850323899,4.52,0.08,1.3721644898269745,49.49,99.71,78.31,0.06781323861848644,0.37396237433779667,0.6565976869428173,0.16370536484388482,0.08,0.9321867613815136,0.6382616501744489,0.549622282621125
91,HDPE,Plastic,Automotive,6.239188491876604,17.18,0.36,3.48,87.36,49.52,38.92,0.2529507449557644,0.16460184374087516,0.37164281559058926,0.8169742970501984,0.36,0.7470492550442356,0.6498960199917106,0.6411479224802971
92,Molded Pulp,Fiber,E-commerce,6.139734361668985,15.46,0.7,0.6420996398205496,92.18,,53.92,0.0036894561210593355,,0.3550235031757387,0.9001207521131621,0.7,0.9963105438789407,,
93,Steel,Metal,Cosmetics,9.521570097233797,9.77,0.03,2.1936077711145368,80.24,125.01,84.08,0.13996306243590886,0.4794977683226964,0.9201461834277045,0.694152147662584,0.03,0.8600369375640912,0.6803598123774639,0.6634460822388806
94,Corrugated Cardboard,Fiber,Pharmaceuticals,5.683831592708488,12.32,1.0,1.270337699153766,81.0,80.07,17.88,0.058869486597714044,0.292036874817503,0.27883973350893104,0.7072623770915991,1.0,0.9411305134022859,0.5363137685130706,0.7357540449181663
95,Bioplastic PLA,Bioplastic,Automotive,6.541934359909122,19.88,0.85,1.2629544135364894,71.12,81.67,46.13,0.05822099050721679,0.2987110499311726,0.42223325514934884,0.5368293945144041,0.85,0.9417790094927833,0.589666672101036,0.7070395752909098
96,Bioplastic PLA,Bioplastic,Retail,5.9875911927287815,4.7,0.54,2.035007336230999,81.76,110.53,67.46,0.1260327111933037,0.419096483543987,0.329599573057159,0.7203726065206142,0.54,0.8739672888066963,0.4803819390964714,0.6403201500259654
97,Bioplastic PLA,Bioplastic,Food,6.045465658763988,4.11,0.51,1.3014005329885847,73.84,84.09,46.58,0.06159782833415034,0.3088057397905978,0.3392707031537558,0.5837502156287736,0.51,0.9384021716658497,0.5504248373871437,0.6463039742876712
98,Kraft Paper,Fiber,Cosmetics,5.282623055075649,12.55,0.7,0.9750793791311568,41.05,88.49,88.89,0.03293606397982071,0.327159721353189,0.21179565985903967,0.018112816974297,0.7,0.9670639360201793,0.4884224311317025,0.5420269179697428
99,Bioplastic PLA,Bioplastic,Pharmaceuticals,5.05083825348819,2.41,0.79,1.1450146744700795,61.72,47.58,11.96,0.04786198996687956,0.1565094064155508,0.17306319070411832,0.37467655683974466,0.79,0.9521380100331205,0.5753196324323169,0.6402129415563761
100,Kraft Paper,Fiber,Electronics,4.323674280979914,16.27,0.47,0.9152596553807296,88.66,21.22,87.88,0.027681918468233885,0.04655237141784507,0.05155023583024357,0.8393996894945661,0.47,0.9723180815317661,0.5926886714813904,0.683402553811815
101,Tinplate,Metal,Automotive,8.06285837137347,21.83,0.04,4.11,59.44,220.43,5.42,0.30828553195862257,0.877528886664164,0.6763877206602982,0.33534586855269966,0.04,0.6917144680413774,0.3440377562656209,0.43423172525538817
102,Recycled PET,Plastic,Cosmetics,7.272820822527561,11.67,0.38,3.134244993342869,60.12,,45.7,0.22258204710093246,,0.5443682578554536,0.347076073831292,0.38,0.7774179528990676,,
103,HDPE,Plastic,Cosmetics,6.628711962152654,4.54,0.15,,64.3,,37.62,,,0.4367342525366489,0.41918233569087454,0.15,,,
104,Tinplate,Metal,Cosmetics,9.017141382329406,2.24,0.07,4.36,95.74,122.3,42.32,0.3302437807692805,0.4681933842239186,0.8358534709328397,0.961531826806969,0.07,0.6697562192307195,0.6534253578387847,0.6506749176835898
105,LDPE,Plastic,Retail,7.815132947852186,11.04,0.28,2.67,83.5,28.89,85.82,0.18180601880923256,0.07854669836899845,0.6349914890708536,0.7503881317923063,0.28,0.8181939811907675,0.8068685766069423,0.7027521137745125
106,Kraft Paper,Fiber,E-commerce,4.747876687446625,8.8,0.9,0.8433000669672874,57.05,74.27,52.49,0.02136149228145427,0.2678429900304509,0.12243670686452167,0.2941176470588235,0.9,0.9786385077185458,0.48826888872753815,0.6217259745956651
107,Glass,Glass,Pharmaceuticals,7.820765846071259,10.95,0.08,1.5319293795897746,59.39,89.06,72.79,0.08184586742096207,0.3295373962374338,0.6359327762261321,0.3344833534586855,0.08,0.9181541325790379,0.6566506727479926,0.5820988562750599
108,Compostable Film,Bioplastic,Food,6.511102277086097,5.74,0.88,2.96,88.71,,41.72,0.20727758742959582,,0.4170810506529975,0.8402622045885803,0.88,0.7927224125704042,,
109,Recycled PET,Plastic,Retail,6.457596330983245,5.53,0.25,3.1931749411845938,59.68,61.25,84.87,0.22775804092936322,0.213531890042965,0.4081399233968533,0.33948594100396756,0.25,0.7722419590706368,0.6351368353329623,0.5366679770949103
110,LDPE,Plastic,Retail,6.153959819657586,16.5,0.4,4.01,86.8,96.64,90.0,0.2995022324343593,0.36115630083844324,0.3574006526220548,0.8073141279972399,0.4,0.7004977675656407,0.526266480545756,0.5989188412677848
111,Glass,Glass,E-commerce,7.579502905827536,7.83,0.01,1.7417422555835622,82.68,181.78,16.05,0.10027436075996735,0.716305844074584,0.5956164598532935,0.7362428842504745,0.01,0.8997256392400327,0.408463077496567,0.5803436839815757
112,Molded Pulp,Fiber,Pharmaceuticals,4.483663861762013,14.67,0.95,0.7642494572988174,59.48,,37.68,0.014418240458516389,,0.07828534296544214,0.33603588062791095,0.95,0.9855817595414836,,
113,Aluminum,Metal,Pharmaceuticals,9.859395304685146,8.21,0.08,9.597263663237232,89.94,132.93,92.71,0.7902483351868054,0.5125349351353606,0.9765985665768516,0.8614800759013282,0.08,0.20975166481319463,0.6831184655495244,0.5156609876692904
114,LDPE,Plastic,Electronics,7.616240759128834,17.19,0.37,,64.66,12.02,29.18,,0.00817586451424519,0.6017555499060707,0.4253924443677764,0.37,,0.8357967012538812,
115,Steel,Metal,Food,9.266807513020847,3.32,0.01,1.906691209331292,97.1,178.85,20.45,0.1147623214297688,0.7040837608976765,0.8775740049790981,0.9849922373641538,0.01,0.8852376785702312,0.5285793454530333,0.6839719879050682
116,Aluminum,Metal,E-commerce,9.742921180375436,18.46,0.01,11.9699340086335,55.9,183.13,63.63,0.9986470783463296,0.7219371793267426,0.9571351229158571,0.27427979989649814,0.01,0.0013529216536704025,0.5496917415702973,0.2898982841595608
